asn,category
52771,dsl
52793,dsl
52827,dsl
52830,dsl
52843,dsl
52856,dsl
52858,dsl
52860,dsl
52872,dsl
52878,dsl
52906,dsl
52907,dsl
52918,dsl
52937,dsl
52948,dsl
52962,dsl
52964,dsl
52999,dsl
53001,dsl
53003,dsl
53006,dsl
53019,dsl
53022,dsl
53043,dsl
53059,dsl
53062,dsl
53066,dsl
53072,dsl
53075,dsl
53087,dsl
53097,dsl
53102,dsl
53130,dsl
53182,dsl
53205,dsl
53209,dsl
53213,dsl
53216,dsl
53218,dsl
53234,dsl
53238,dsl
53256,dsl
53407,dsl
53423,dsl
53508,dsl
53703,dsl
53823,dsl
53913,dsl
54133,dsl
54182,dsl
54198,dsl
54225,dsl
54614,dsl
54980,dsl
55039,dsl
55145,dsl
55352,dsl
55391,dsl
55430,dsl
55482,dsl
55492,dsl
55555,dsl
55577,dsl
56361,dsl
56373,dsl
56420,dsl
56465,dsl
56478,dsl
56523,dsl
56568,dsl
56575,dsl
56665,dsl
56668,dsl
56724,dsl
56791,dsl
56981,dsl
57026,dsl
57044,dsl
57093,dsl
57099,dsl
57128,dsl
57152,dsl
57154,dsl
57223,dsl
57227,dsl
57269,dsl
57279,dsl
57293,dsl
57353,dsl
57359,dsl
57378,dsl
57422,dsl
57513,dsl
57516,dsl
57704,dsl
57732,dsl
57793,dsl
57794,dsl
57800,dsl
57847,dsl
57888,dsl
57999,dsl
58073,dsl
58079,dsl
58224,dsl
58230,dsl
58243,dsl
58246,dsl
58254,dsl
58273,dsl
58299,dsl
58322,dsl
58340,dsl
58396,dsl
58424,dsl
58482,dsl
58485,dsl
58504,dsl
58553,dsl
58678,dsl
58689,dsl
58715,dsl
58717,dsl
58821,dsl
58834,dsl
58895,dsl
58945,dsl
58965,dsl
58969,dsl
59108,dsl
59127,dsl
59149,dsl
59239,dsl
59257,dsl
59280,dsl
59282,dsl
59362,dsl
59382,dsl
59497,dsl
59514,dsl
59588,dsl
59605,dsl
59625,dsl
59702,dsl
59713,dsl
59790,dsl
59815,dsl
59989,dsl
60036,dsl
60098,dsl
60139,dsl
60202,dsl
60255,dsl
60257,dsl
60294,dsl
60377,dsl
60443,dsl
60656,dsl
60670,dsl
60822,dsl
60876,dsl
60966,dsl
61049,dsl
61139,dsl
61172,dsl
61240,dsl
61244,dsl
61337,dsl
61360,dsl
61461,dsl
61587,dsl
61589,dsl
61615,dsl
61621,dsl
61649,dsl
61653,dsl
61662,dsl
61667,dsl
61668,dsl
61671,dsl
61677,dsl
61678,dsl
61693,dsl
61699,dsl
61711,dsl
61716,dsl
61720,dsl
61732,dsl
61754,dsl
61757,dsl
61759,dsl
61761,dsl
61770,dsl
61772,dsl
61776,dsl
61786,dsl
61802,dsl
61812,dsl
61816,dsl
61839,dsl
61845,dsl
61847,dsl
61868,dsl
61874,dsl
61884,dsl
61893,dsl
61895,dsl
61910,dsl
61911,dsl
61914,dsl
61917,dsl
61928,dsl
61930,dsl
61934,dsl
61937,dsl
61940,dsl
62105,dsl
62179,dsl
62336,dsl
62347,dsl
62365,dsl
62419,dsl
62423,dsl
62809,dsl
62917,dsl
63060,dsl
63072,dsl
63296,dsl
63526,dsl
63859,dsl
63873,dsl
63969,dsl
63980,dsl
63996,dsl
64024,dsl
64029,dsl
64072,dsl
64073,dsl
64098,dsl
64126,dsl
64300,dsl
64429,dsl
131090,dsl
131111,dsl
131178,dsl
131267,dsl
